] c0      1 i2c-core: driver [pn544] using legacy suspend method
<4>[    1.278650] c0      1 i2c-core: driver [r3gd20_gyr] using legacy suspend method
<4>[    1.278681] c0      1 i2c-core: driver [r3gd20_gyr] using legacy resume method
<4>[    1.278803] c0      1 i2c-core: driver [bma250] using legacy suspend method
<4>[    1.278834] c0      1 i2c-core: driver [bma250] using legacy resume method
<6>[    1.279017] c0      1 lirc_dev: IR Remote Control driver registered, major 231 
<6>[    1.279047] c0      1 IR NEC protocol handler initialized
<6>[    1.279078] c0      1 IR RC5(x) protocol handler initialized
<6>[    1.279108] c0      1 IR RC6 protocol handler initialized
<6>[    1.279139] c0      1 IR JVC protocol handler initialized
<6>[    1.279139] c0      1 IR Sony protocol handler initialized
<6>[    1.279169] c0      1 IR RC5 (streamzap) protocol handler initialized
<6>[    1.279200] c0      1 IR SANYO protocol handler initialized
<6>[    1.279230] c0      1 IR MCE Keyboard/mouse protocol handler initialized
<6>[    1.279261] c0      1 IR LIRC bridge handler initialized
<6>[    1.279261] c0      1 Linux video capture interface: v2.00
<6>[    1.279688] c0      1 [CAM] system rev = 129
<6>[    1.280604] c0      1 [CAM] htccallback:kobject creat and add
<6>[    1.280756] c0      1 [CAM] camera_attrs:kobject creat and add
<6>[    1.281336] c0      1 [CAM] rawchip_driver_probe
<6>[    1.281367] c0      1 [CAM] setup_rawchip_cdev
<6>[    1.281580] c0      1 [CAM]rawchip_spi_init 
<6>[    1.281641] c0      1 [CAM]:spi_rawchip_probe
<6>[    1.282221] c0      1 [CAM] imx091 msm_sensor_init_module
<6>[    1.282374] c0      1 [CAM] imx175 msm_sensor_init_module
<6>[    1.282466] c0      1 [CAM] imx175_i2c_probe
<6>[    1.282496] c0      1 [CAM] msm_sensor_i2c_probe: sensor_i2c_probe called - name: imx175
<6>[    1.282527] c0      1 [CAM] msm_camio_probe_on_bootup: sinfo sensor name - imx175
<6>[    1.282557] c0      1 [CAM] msm_camio_probe_on_bootup: camio_clk m(24000000) v(228570000)
<6>[    1.282588] c0      1 [CAM] msm_camio_config_gpio_table: no cam gpio config table
<6>[    1.282618] c0      1 [CAM] rawchip_probe_init
<6>[    1.282649] c0      1 monarudo_rawchip_vreg_on
<6>[    1.282679] c0      1 rawchip external 1v8 gpio_request,156 rc(0)
<6>[    1.288783] c0      1 rawchip external 1v2 gpio_request,33 rc(0)
<6>[    1.288844] c0      1 [CAM] msm_camio_clk_enable: clk(c0d4d5c8) obj.name:4-0010
<6>[    1.293605] c0      1 [CAM] rawchip id: 0x2030200 requested id: 0x2030200
<6>[    1.293636] c0      1 [CAM] rawchip_probe_init: probe_success
<6>[    1.294246] c0      1 [CAM] imx175_power_up called
<6>[    1.294277] c0      1 monarudo_imx175_ov8838_vreg_on
<6>[    1.299282] c0      1 monarudo_imx175_ov8838_vreg_on: 8921_l9 2800000
<4>[    1.299313] c0      1 8921_l9: Failed to create debugfs directory
<6>[    1.299954] c0      1 monarudo_imx175_ov8838_vreg_on: 8921_l9 2800000 (0)
<6>[    1.300961] c0      1 monarudo_imx175_ov8838_vreg_on: CAM_PIN_GPIO_V_CAM_D1V2_EN
<6>[    1.300991] c0      1 monarudo_imx175_ov8838_vreg_on: CAM_PIN_GPIO_V_CAM_D1V2_EN (0)
<6>[    1.301999] c0      1 monarudo_imx175_ov8838_vreg_on: CAM_PIN_GPIO_V_CAM_D1V2_EN_XD
<6>[    1.301999] c0      1 monarudo_imx175_ov8838_vreg_on: CAM_PIN_GPIO_V_CAM_D1V2_EN_XD (0)
<6>[    1.303036] c0      1 digital gpio_request,163
<6>[    1.333251] c1    139 [TP] Device Status = 0
<6>[    1.364291] c0      1 monarudo_imx175_ov8838_vreg_on: 8921_lvs4 1800000
<4>[    1.364352] c0      1 8921_lvs4: Failed to create debugfs directory
<6>[    1.364840] c0      1 monarudo_imx175_ov8838_vreg_on: 8921_lvs4 1800000 (0)
<6>[    1.365878] c0      1 monarudo_imx175_ov8838_vreg_on: 8921_l8 2800000
<4>[    1.365939] c0      1 8921_l8: Failed to create debugfs directory
<6>[    1.366641] c0      1 monarudo_imx175_ov8838_vreg_on: 8921_l8 2800000 (0)
<6>[    1.367648] c0      1 reset pin gpio_request,2
<6>[    1.368686] c0      1 [CAM] msm_sensor_set_power_up: called 1686
<6>[    1.375888] c0      1 [CAM] imx175_sensor_open_init called
<6>[    1.376194] c0      1 [CAM] msm_sensor_match_id: msm_sensor id: 0x175,expect sensor_id=0x175
<6>[    1.376255] c0      1 [CAM] imx175_read_VCM_driver_IC_info: sensor OTP information:
<6>[    1.382694] c0      1 [CAM] imx175_read_VCM_driver_IC_info: OTP=2
<6>[    1.382725] c0      1 [CAM] imx175_read_VCM_driver_IC_info: sdata->actuator_info->board_info->type=ti201_act
<6>[    1.382755] c0      1 [CAM] imx175_read_VCM_driver_IC_info: sdata->actuator_info->board_info->addr=0x1c
<6>[    1.383427] c0      1 [CAM] msm_sensor_register mctl_node_name[0] = video1
<6>[    1.383457] c0      1 [CAM] imx175_power_down called
<6>[    1.383488] c0      1 calledmonarudo_imx175_ov8838_vreg_off
<6>[    1.385960] c0      1 monarudo_imx175_ov8838_vreg_off: CAM_PIN_GPIO_V_CAM_D1V2_EN_XD (0)
<6>[    1.388402] c0      1 reset pin gpio_request,2
<6>[    1.389928] c0      1 digital gpio_request,163
<6>[    1.389989] c0      1 [CAM] msm_sensor_set_power_down: called 1720
<6>[    1.393132] c0      1 monarudo_rawchip_vreg_off
<6>[    1.398229] c0      1 [CAM] msm_camio_config_gpio_table: no cam gpio config table
<6>[    1.398260] c0      1 [CAM] imx175_sysfs_init: imx175:kobject creat and add
<6>[    1.398290] c0      1 [CAM] imx175:sysfs_create_file
<6>[    1.398321] c0      1 [CAM] imx175_i2c_probe: rc(0)
<6>[    1.398443] c0      1 [CAM] ov8838 msm_sensor_init_module
<6>[    1.398565] c0      1 [CAM] msm_sensor_init_module
<6>[    1.398687] c0      1 [CAM] msm_sensor_init_module
<6>[    1.398779] c0      1 [CAM] ar0260_i2c_probe
<6>[    1.398809] c0      1 [CAM] msm_sensor_i2c_probe: sensor_i2c_probe called - name: ar0260
<6>[    1.398840] c0      1 [CAM] msm_camio_probe_on_bootup: sinfo sensor name - ar0260
<6>[    1.398870] c0      1 [CAM] msm_camio_probe_on_bootup: camio_clk m(24000000) v(228570000)
<6>[    1.398901] c0      1 [CAM] msm_camio_config_gpio_table: no cam gpio config table
<6>[    1.398931] c0      1 [CAM] rawchip_probe_init
<6>[    1.398962] c0      1 monarudo_rawchip_vreg_on
<6>[    1.398992] c0      1 rawchip external 1v8 gpio_request,156 rc(0)
<6>[    1.405280] c0      1 rawchip external 1v2 gpio_request,33 rc(0)
<6>[    1.405280] c0      1 [CAM] msm_camio_clk_enable: clk(c0d4d5c8) obj.name:4-0048
<6>[    1.409064] c0      1 [CAM] rawchip id: 0x2030200 requested id: 0x2030200
<6>[    1.409095] c0      1 [CAM] rawchip_probe_init: probe_success
<6>[    1.409095] c0      1 [CAM] ar0260_power_up
<6>[    1.419136] c0      1 monarudo_ar0260_vreg_on
<6>[    1.424080] c0     26 hub_port_wait_reset: portstatus = 0x00000503 portchange = 0x00000000
<6>[    1.424141] c0      1 rawchip external 1v8 gpio_request,156 rc(0)
<6>[    1.429177] c0      1 digital gpio_request,163
<3>[    1.483747] c0     26 usb 1-1: hub_port_init[2569] hub_port_reset retval:0
<6>[    1.483778] c0     26 usb 1-1: new high-speed USB device number 2 using msm_hsic_host
<4>[    1.489302] c1      1 8921_lvs4: Failed to create debugfs directory
<6>[    1.489913] c0      1 sensor_power_enable("8921_lvs4", 1.8V) == 0
<4>[    1.490035] c0      1 8921_l8: Failed to create debugfs directory
<6>[    1.490584] c0      1 sensor_power_enable("8921_l8", 2.8V) == 0
<3>[    1.493819] c0     26 usb 1-1: hub_port_init[2693] hub_set_address devnum:2 retval:0
<6>[    1.495864] c0      1 [CAM] reset pin gpio_request,2
<3>[    1.521745] c2     26 usb 1-1: hub_port_init[2720] usb_get_device_descriptor retval:8
<6>[    1.523302] c0      1 [CAM] ar0260_power_up end
<6>[    1.523515] c0      1 [CAM] msm_sensor_match_id: msm_sensor id: 0x4581,expect sensor_id=0x4581
<6>[    1.523729] c0      1 [CAM] msm_sensor_match_id: msm_sensor id 0x3000: 0x4580,expect sensor_id=0x4581
<6>[    1.523760] c0      1 [CAM] msm_actuator_probe: probe failed
<6>[    1.523882] c0      1 [CAM] msm_sensor_register mctl_node_name[1] = video3
<6>[    1.523882] c0      1 [CAM] ar0260_power_down
<6>[    1.523882] c0      1 monarudo_ar0260_vreg_off
<6>[    1.524248] c0      1 monarudo_ar0260_vreg_off: sensor_power_disable("reg_8921_l8") == 0
<6>[    1.524706] c0      1 monarudo_ar0260_vreg_off: sensor_power_disable("reg_8921_lvs4") == 0
<6>[    1.524767] c0      1 digital gpio_request,163
<6>[    1.524797] c0      1 rawchip external 1v8 gpio_request,156 rc(0)
<6>[    1.530901] c0      1 monarudo_rawchip_vreg_off
<6>[    1.535937] c0      1 [CAM] msm_camio_config_gpio_table: no cam gpio config table
<6>[    1.535968] c0      1 [CAM] ar0260:kobject creat and add
<6>[    1.535968] c0      1 [CAM] ar0260:sysfs_create_file
<6>[    1.535968] c0      1 [CAM] ar0260_i2c_probe: rc(0)
<6>[    1.536059] c0      1 [CAM] ov2722 msm_sensor_init_module
<6>[    1.537219] c0      1 [swfa] swfa_init: SW-MM-A-2013-0314-1600-v0001
<6>[    1.537921] c0      1 ion_client_create: create ion_client (wfd) at de6f6080
<6>[    1.538135] c0      1 [BATT][CCADC] r_sense=10
<3>[    1.539081] c0      1 pm8xxx_adc_probe: failed to request pa_therm vreg with error -517
<6>[    1.539081] c0      1 monarudo_pm8xxx_adc_device_register: Register PM8XXX ADC device. rev: 129
<6>[    1.539325] c0      1 [CABLE] XA monarudo_usb_dpdn_switch: Set USB path
<6>[    1.539447] c0      1 [CABLE] usb_id_detect_init: id pin 158
<6>[    1.539508] c0      1 [CABLE] monarudo_config_usb_id_gpios: 7 input none pull
<6>[    1.539905] c0      1 [THERMAL] thermal_sys: thermal_zone0: Current temperature (45 C)
<6>[    1.539935] c0      1 [THERMAL] thermal_sys: trip_temp:225, type:3
<6>[    1.539935] c0      1 [THERMAL] thermal_sys: trip_temp:188, type:4
<6>[    1.539935] c0      1 [THERMAL] thermal_sys: trip_temp:19, type:5
<6>[    1.539966] c0      1 [THERMAL] thermal_sys: trip_temp:-75, type:6
<6>[    1.540088] c0      1 [THERMAL] thermal_sys: thermal_zone1: Current temperature (46 C)
<6>[    1.540088] c0      1 [THERMAL] thermal_sys: trip_temp:212, type:3
<6>[    1.540088] c0      1 [THERMAL] thermal_sys: trip_temp:175, type:4
<6>[    1.540119] c0      1 [THERMAL] thermal_sys: trip_temp:6, type:5
<6>[    1.540119] c0      1 [THERMAL] thermal_sys: trip_temp:-88, type:6
<6>[    1.540241] c0      1 [THERMAL] thermal_sys: thermal_zone2: Current temperature (44 C)
<6>[    1.540241] c0      1 [THERMAL] thermal_sys: trip_temp:205, type:3
<6>[    1.540241] c0      1 [THERMAL] thermal_sys: trip_temp:168, type:4
<6>[    1.540271] c0      1 [THERMAL] thermal_sys: trip_temp:3, type:5
<6>[    1.540271] c0      1 [THERMAL] thermal_sys: trip_temp:-89, type:6
<6>[    1.540393] c0      1 [THERMAL] thermal_sys: thermal_zone3: Current temperature (43 C)
<6>[    1.540393] c0      1 [THERMAL] thermal_sys: trip_temp:217, type:3
<6>[    1.540424] c0      1 [THERMAL] thermal_sys: trip_temp:179, type:4
<6>[    1.540424] c0      1 [THERMAL] thermal_sys: trip_temp:11, type:5
<6>[    1.540424] c0      1 [THERMAL] thermal_sys: trip_temp:-83, type:6
<6>[    1.540546] c0      1 [THERMAL] thermal_sys: thermal_zone4: Current temperature (43 C)
<6>[    1.540576] c0      1 [THERMAL] thermal_sys: trip_temp:201, type:3
<6>[    1.540576] c0      1 [THERMAL] thermal_sys: trip_temp:166, type:4
<6>[    1.540576] c0      1 [THERMAL] thermal_sys: trip_temp:7, type:5
<6>[    1.540576] c0      1 [THERMAL] thermal_sys: trip_temp:-82, type:6
<6>[    1.540698] c0      1 [THERMAL] thermal_sys: thermal_zone5: Current temperature (42 C)
<6>[    1.540729] c0      1 [THERMAL] thermal_sys: trip_temp:195, type:3
<6>[    1.540729] c0      1 [THERMAL] thermal_sys: trip_temp:159, type:4
<6>[    1.540729] c0      1 [THERMAL] thermal_sys: trip_temp:-3, type:5
<6>[    1.540759] c0      1 [THERMAL] thermal_sys: trip_temp:-93, type:6
<6>[    1.540851] c0      1 [THERMAL] thermal_sys: thermal_zone6: Current temperature (42 C)
<6>[    1.540882] c0      1 [THERMAL] thermal_sys: trip_temp:202, type:3
<6>[    1.540882] c0      1 [THERMAL] thermal_sys: trip_temp:166, type:4
<6>[    1.540882] c0      1 [THERMAL] thermal_sys: trip_temp:4, type:5
<6>[    1.540912] c0      1 [THERMAL] thermal_sys: trip_temp:-87, type:6
<6>[    1.541034] c0      1 [THERMAL] thermal_sys: thermal_zone7: Current temperature (48 C)
<6>[    1.541034] c0      1 [THERMAL] thermal_sys: trip_temp:203, type:3
<6>[    1.541034] c0      1 [THERMAL] thermal_sys: trip_temp:164, type:4
<6>[    1.541065] c0      1 [THERMAL] thermal_sys: trip_temp:-7, type:5
<6>[    1.541065] c0      1 [THERMAL] thermal_sys: trip_temp:-103, type:6
<6>[    1.541187] c0      1 [THERMAL] thermal_sys: thermal_zone8: Current temperature (45 C)
<6>[    1.541187] c0      1 [THERMAL] thermal_sys: trip_temp:196, type:3
<6>[    1.541217] c0      1 [THERMAL] thermal_sys: trip_temp:160, type:4
<6>[    1.541217] c0      1 [THERMAL] thermal_sys: trip_temp:-2, type:5
<6>[    1.541217] c0      1 [THERMAL] thermal_sys: trip_temp:-92, type:6
<6>[    1.541339] c0      1 [THERMAL] thermal_sys: thermal_zone9: Current temperature (49 C)
<6>[    1.541370] c0      1 [THERMAL] thermal_sys: trip_temp:228, type:3
<6>[    1.541370] c0      1 [THERMAL] thermal_sys: trip_temp:189, type:4
<6>[    1.541370] c0      1 [THERMAL] thermal_sys: trip_temp:18, type:5
<6>[    1.541370] c0      1 [THERMAL] thermal_sys: trip_temp:-78, type:6
<6>[    1.541492] c0      1 [THERMAL] thermal_sys: thermal_zone10: Current temperature (45 C)
<6>[    1.541522] c0      1 [THERMAL] thermal_sys: trip_temp:204, type:3
<6>[    1.541522] c0      1 [THERMAL] thermal_sys: trip_temp:168, type:4
<6>[    1.541522] c0      1 [THERMAL] thermal_sys: trip_temp:6, type:5
<6>[    1.541553] c0      1 [THERMAL] thermal_sys: trip_temp:-84, type:6
<6>[    1.541919] c0      1 device-mapper: ioctl: 4.22.0-ioctl (2011-10-19) initialised: dm-devel@redhat.com
<6>[    1.542224] c0      1 cpuidle: using governor ladder
<6>[    1.542224] c0      1 cpuidle: using governor menu
<6>[    1.542499] c0      1 mmc0: SDCC Version: 0x0000001a
<6>[    1.543689] c0      1 mmc0: bam physical base=0x12402000
<6>[    1.543689] c0      1 mmc0: bam virtual base=0xe60fc000
<6>[    1.543689] c0      1 sps:BAM 0x12402000 is registered.
<6>[    1.543720] c0      1 mmc0: BAM device registered. bam_handle=0xde740c00
<6>[    1.543811] c0      1 sps:REVISION of BAM 0xe60fc000 is 0x5.
<6>[    1.543995] c0      1 mmc0: Qualcomm MSM SDCC-BAM at 0x0000000012402000 irq 130
<6>[    1.544025] c0      1 mmc0: Qualcomm MSM SDCC-DML at 0x0000000012400800
<3>[    1.544208] c0      1 mmc0: No card detect facilities available
<6>[    1.545948] c0      1 mmc0: Qualcomm MSM SDCC-core at 0x0000000012400000 irq 136,0 dma -1 dmacrcri -1
<6>[    1.545948] c0      1 mmc0: Controller capabilities: 0x0000039e
<6>[    1.545948] c0      1 mmc0: Platform slot type: MMC
<6>[    1.545978] c0      1 mmc0: 8 bit data mode enabled
<6>[    1.545978] c0      1 mmc0: 4 bit data mode disabled
<6>[    1.545978] c0      1 mmc0: polling status mode disabled
<6>[    1.545978] c0      1 mmc0: MMC clock 400000 -> 96000000 Hz, PCLK 0 Hz
<6>[    1.546009] c0      1 mmc0: Slot eject status = 0
<6>[    1.546009] c0      1 mmc0: Power save feature enable = 1
<6>[    1.546009] c0      1 mmc0: SPS-BAM data transfer mode available
<6>[    1.546131] c0      1 mmc1: SDCC Version: 0x0000001a
<6>[    1.548145] c0      1 mmc1: bam physical base=0x12182000
<6>[    1.548176] c0      1 mmc1: bam virtual base=0xe631c000
<6>[    1.548176] c0      1 sps:BAM 0x12182000 is registered.
<6>[    1.548176] c0      1 mmc1: BAM device registered. bam_handle=0xde741200
<6>[    1.548267] c0      1 sps:REVISION of BAM 0xe631c000 is 0x5.
<6>[    1.548451] c0      1 mmc1: Qualcomm MSM SDCC-BAM at 0x0000000012182000 irq 128
<6>[    1.548481] c0      1 mmc1: Qualcomm MSM SDCC-DML at 0x0000000012180800
<6>[    1.548725] c0      1 [WIFI] [MMC] msmsdcc_set_ios [WIFI] mmc1 clks is OFF
<6>[    1.549732] c0      1 mmc1: Qualcomm MSM SDCC-core at 0x0000000012180000 irq 134,0 dma -1 dmacrcri -1
<6>[    1.549763] c0      1 mmc1: Controller capabilities: 0x0000039e
<6>[    1.549763] c0      1 mmc1: Platform slot type: SDIO(WIFI)
<6>[    1.549763] c0      1 mmc1: 8 bit data mode disabled
<6>[    1.549763] c0      1 mmc1: 4 bit data mode enabled
<6>[    1.549793] c0      1 mmc1: polling status mode disabled
<6>[    1.549793] c0      1 mmc1: MMC clock 400000 -> 48000000 Hz, PCLK 0 Hz
<6>[    1.549793] c0      1 mmc1: Slot eject status = 1
<6>[    1.549793] c0      1 mmc1: Power save feature enable = 1
<6>[    1.549824] c0      1 mmc1: SPS-BAM data transfer mode available
<6>[    1.549946] c0      1 [FLT]TPS tps61310 Led Flash driver: init
<6>[    1.549977] c0      1 [FLT]TPS tps61310_probe +
<7>[    1.550099] c0      1 Registered led device: flashlight
<6>[    1.550373] c0      1 [FLT]TPS tps61310_probe no reset pin
<6>[    1.550404] c0      1 [FLT]TPS tps61310_probe no power save pin
<6>[    1.550404] c0      1 [FLT]TPS tps61310_probe no power save pin_2
<6>[    1.550404] c0      1 [FLT]TPS tps61310_probe -
<4>[    1.550434] c0      1 i2c-core: driver [TPS61310_FLASHLIGHT] using legacy suspend method
<4>[    1.550434] c0      1 i2c-core: driver [TPS61310_FLASHLIGHT] using legacy resume method
<6>[    1.550740] c0      1 usbcore: registered new interface driver usbhid
<6>[    1.550740] c0      1 usbhid: USB HID core driver
<6>[    1.551106] c0      1 ashmem: initialized
<6>[    1.551167] c0      1 logger: created 256K log 'log_main'
<6>[    1.551228] c0      1 logger: created 256K log 'log_events'
<6>[    1.551289] c0      1 logger: created 256K log 'log_radio'
<6>[    1.551350] c0      1 logger: created 256K log 'log_system'
<6>[    1.551716] c0      1 usbcore: registered new interface driver snd-usb-audio
<3>[    1.552449] c0      1 [AUD] snd_soc_wcd9310: tabla_probe
<6>[    1.552876] c0      1 ion_client_create: create ion_client (voip_client) at de7115c0
<6>[    1.553395] c0      1 [AUD] msm_pcm_voip: msm_pcm_probe: dev name msm-voip-dsp
<6>[    1.553609] c0      1 msm-dai-q6-mi2s msm-dai-q6-mi2s: msm_dai_q6_mi2s_platform_data_validation: playback sdline 1 capture sdline 4
<6>[    1.553609] c0      1 msm-dai-q6-mi2s msm-dai-q6-mi2s: msm_dai_q6_mi2s_platform_data_validation: playback ch_max 2 capture ch_mx 2
<6>[    1.555043] c3      1 [AUD] snd_soc_qdsp6: msm_pcm_probe: dev name msm-pcm-dsp
<6>[    1.555531] c3      1 msm_pcm_probe: dev name msm-multi-ch-pcm-dsp
<6>[    1.556752] c3      1 [AUD] snd_soc_qdsp6: msm_compr_probe: dev name msm-compr-dsp
<6>[    1.557485] c3      1 msm-pcm-lpa msm-pcm-lpa: msm_pcm_probe: dev name msm-pcm-lpa
<3>[    1.559011] c3      1 msm_audio_init: Not the right machine type
<6>[    1.569845] c0     26 usb 1-1: New USB device found, idVendor=05c6, idProduct=9008
<6>[    1.569876] c0     26 usb 1-1: New USB device strings: Mfr=1, Product=2, SerialNumber=0
<6>[    1.569906] c0     26 usb 1-1: Product: QHSUSB__BULK
<6>[    1.569906] c0     26 usb 1-1: Manufacturer: Qualcomm CDMA Technologies MSM
<6>[    1.581718] c0     26 usb 1-1: adding 1-1:1.0 (config #1, interface 0)
<6>[    1.582084] c0     26 qcserial 1-1:1.0: Qualcomm USB modem converter detected
<6>[    1.582145] c0     26 [WWAN_POOL] init wwan_in_buf_list:c0f3a7d0
<6>[    1.582176] c0     26 [WWAN_POOL] init wwan_out_buf_list:c0f3a7d8
<6>[    1.582206] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d0 empty
<6>[    1.582237] c0     26 [WWAN_POOL] alloc in_buffer:de7c4000 size:16384
<6>[    1.582267] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d0 empty
<6>[    1.582298] c0     26 [WWAN_POOL] alloc in_buffer:de7c8000 size:16384
<6>[    1.582328] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d0 empty
<6>[    1.582359] c0     26 [WWAN_POOL] alloc in_buffer:de7cc000 size:16384
<6>[    1.582389] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d0 empty
<6>[    1.582420] c0     26 [WWAN_POOL] alloc in_buffer:de7d0000 size:16384
<6>[    1.582420] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d0 empty
<6>[    1.582481] c0     26 [WWAN_POOL] alloc in_buffer:de7d4000 size:16384
<6>[    1.582481] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d8 empty
<6>[    1.582542] c0     26 [WWAN_POOL] alloc out_buffer:de7e0000 size:65536
<6>[    1.582542] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d8 empty
<6>[    1.582572] c0     26 [WWAN_POOL] alloc out_buffer:de7f0000 size:65536
<6>[    1.582603] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d8 empty
<6>[    1.582664] c0     26 [WWAN_POOL] alloc out_buffer:de000000 size:65536
<6>[    1.582694] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d8 empty
<6>[    1.582725] c0     26 [WWAN_POOL] alloc out_buffer:de010000 size:65536
<6>[    1.582755] c0     26 [WWAN_POOL] htc_get_wwan_buffer(93): list c0f3a7d8 empty
